path,sentence,accents,age,gender
Voice_2505_001,"저는 서울에서 왔고, 한국어를 배우는 학생입니다.",France,twenties,male
Voice_2505_002,"이 책은 정말 재미있고, 저는 매일 아침 공원을 산책합니다.",France,twenties,male
Voice_2505_003,"고맙습니다, 잘 지냈어요. 오늘은 정말 행복한 날입니다.",France,twenties,male
Voice_2605_004,"저는 스물다섯 살이고, 요리를 하는 것을 좋아합니다.",France,twenties,male
Voice_2605_005,"이 영화는 정말 재미있고, 저는 영화를 보는 것을 좋아합니다.",France,twenties,male
Voice_2605_006,"저는 한국어를 배우고 있고, 이 노래는 정말 좋아요.",France,twenties,male
Voice_2605_007,"저는 그림을 그리는 것을 좋아하고, 오늘은 정말 피곤한 날입니다.",France,twenties,male
Voice_2605_008,"이 음식은 정말 맛있고, 저는 여행을 좋아하는 사람입니다.",France,twenties,male
Voice_2605_009,"저는 커피를 좋아하고, 오늘은 정말 더운 날입니다.",France,twenties,male
Voice_2605_010,"저는 책을 읽는 것을 좋아하고, 이 꽃은 정말 예뻐요.",France,twenties,male
Voice_2605_011,"저는 사진을 찍는 것을 좋아하고, 오늘은 정말 바쁜 날입니다.",France,twenties,male
Voice_2605_012,"저는 음악을 듣는 것을 좋아하고, 이 영화는 정말 재미있어요.",France,twenties,male
Voice_2605_013,"저는 서울에서 왔고, 오늘 날씨가 정말 좋네요.",France,twenties,male
Voice_2605_014,"이 책은 정말 재미있고, 저는 매일 아침 공원을 산책합니다.",France ,twenties,male
Voice_2605_015,"저는 음악을 좋아하고, 특히 클래식 음악을 즐겨 듣습니다.",France,twenties,male
Voice_2605_016,"고맙습니다, 잘 지냈어요. 오늘은 정말 행복한 날입니다.",France,twenties,male
Voice_2605_017,"안녕하세요, 저는 파스칼 이라고 합니다. 저는 학생이고, 한국어를 배우고 있습니다.",France,twenties,male
Voice_2605_018,어제 본 영화는 정말 재미있었어요.,Singapore,twenties,male
Voice_2605_019,저는 주말에 친구들과 함께 공원에 갔어요.,Singapore,twenties,male
Voice_2605_020,이 카페의 커피는 정말 맛있어요.,Singapore,twenties,male
Voice_2605_021,오늘은 날씨가 추워서 따뜻한 옷을 입었어요.,Singapore,twenties,male
Voice_2605_022,저는 매일 아침 조깅을 해요.,Singapore,twenties,male
Voice_2605_023,이 책은 정말 흥미로워요.,Singapore,twenties,male
Voice_2605_024,저는 한국어를 배우는 것을 좋아해요.,Singapore,twenties,male
Voice_2605_025,이 음식은 조금 매워요.,Singapore,twenties,male
Voice_2605_026,저는 내일 시험이 있어요.,Singapore,twenties,male
Voice_2605_027,이 음악은 정말 좋네요.,Singapore,twenties,male
Voice_2605_028,저는 주말에 가족과 함께 시간을 보내요.,Singapore,twenties,male
Voice_2605_029,이 영화는 정말 감동적이었어요.,Singapore,twenties,male
Voice_2605_030,저는 매일 저녁 산책을 해요.,Singapore,twenties,male
Voice_2605_031,이 옷은 정말 예뻐요.,Singapore,twenties,male
Voice_2605_032,저는 한국 문화를 배우고 싶어요.,Singapore,twenties,male
Voice_2605_033,이 공원은 정말 아름다워요.,Singapore,twenties,male
Voice_2605_034,저는 매일 아침 일찍 일어나요.,Singapore,twenties,male
Voice_2605_035,이 영화는 정말 재미있었어요.,Singapore,twenties,male
Voice_2605_036,저는 한국 드라마를 좋아해요.,Singapore,twenties,male
Voice_2605_037,이 음식은 정말 맛있어요.,Singapore,twenties,male
Voice_2605_038,오늘은 매우 바쁜 하루였어요.,China,twenties,male
Voice_2605_039,저는 새로운 레시피를 시도해 보고 싶어요.,China,twenties,male
Voice_2605_040,이 도시는 밤에 정말 아름다워요.,China,twenties,male
Voice_2605_041,저는 주말에 여행 가는 것을 좋아해요.,China,twenties,male
Voice_2605_042,이 꽃은 정말 향기로워요.,China,twenties,male
Voice_2605_043,저는 매일 저녁 책을 읽어요.,China,twenties,male
Voice_2605_044,이 카페는 조용해서 공부하기 좋아요.,China,twenties,male
Voice_2605_045,저는 겨울에 스키 타는 것을 좋아해요.,China,twenties,male
Voice_2605_046,이 영화는 정말 슬펐어요.,China,twenties,male
Voice_2605_047,저는 매일 아침 신문을 읽어요.,China,twenties,male
Voice_2605_048,이 음식은 조금 짜요.,China,twenties,male
Voice_2605_049,저는 주말에 영화 보는 것을 좋아해요.,China,twenties,male
Voice_2605_050,이 공원은 아이들과 놀기 좋아요.,China,twenties,male
Voice_2605_051,저는 매일 아침 샤워를 해요.,China,twenties,male
Voice_2605_052,이 음악은 정말 신나요.,China,twenties,male
Voice_2605_053,저는 한국어 공부를 열심히 하고 있어요.,China,twenties,male
Voice_2605_054,이 옷은 조금 커요.,China,twenties,male
Voice_2605_055,저는 주말에 친구들을 만나요.,China,twenties,male
Voice_2605_056,이 영화는 정말 재미있었어요.,China,twenties,male
Voice_2605_057,저는 매일 저녁 산책을 해요.,China,twenties,male
Voice_2605_058,오늘은 정말 피곤한 하루였어요.,Switzerland,twenties,male
Voice_2605_059,저는 주말에 바다로 여행 갈 거예요.,Switzerland,twenties,male
Voice_2605_060,이 카페의 디저트는 정말 맛있어요.,Switzerland,twenties,male
Voice_2605_061,오늘은 날씨가 매우 더워요.,Switzerland,twenties,male
Voice_2605_062,저는 매일 아침 요가를 해요.,Switzerland,twenties,male
Voice_2605_063,이 소설은 정말 흥미진진해요.,Switzerland,twenties,male
Voice_2605_064,저는 한국어 회화를 연습하고 있어요.,Switzerland,twenties,male
Voice_2605_065,이 음식은 조금 단맛이 나요.,Switzerland,twenties,male
Voice_2605_066,저는 내일 회의가 있어요.,Switzerland,twenties,male
Voice_2605_067,이 노래는 정말 좋네요.,Switzerland,twenties,male
Voice_2605_068,저는 주말에 가족과 함께 영화 볼 거예요.,Switzerland,twenties,male
Voice_2605_069,이 영화는 정말 감동적이었어요.,Switzerland,twenties,male
Voice_2605_070,저는 매일 저녁 공원을 산책해요.,Switzerland,twenties,male
Voice_2605_071,이 신발은 정말 편안해요.,Switzerland,twenties,male
Voice_2605_072,저는 한국 전통 문화를 배우고 싶어요.,Switzerland,twenties,male
Voice_2605_073,이 공원은 정말 평화로워요.,Switzerland,twenties,male
Voice_2605_074,저는 매일 아침 커피를 마셔요.,Switzerland,twenties,male
Voice_2605_075,이 영화는 정말 재미있었어요.,Switzerland,twenties,male
Voice_2605_076,저는 한국 드라마를 자주 봐요.,Switzerland,twenties,male
Voice_2605_077,이 음식은 정말 맛있어요.,Switzerland,twenties,male
common_voice_ko_41668884,소회는 묻고 또 물었다.,South Korea,twenties,female
common_voice_ko_41665903,그런 식으로 말하지 마.,South Korea,twenties,male
common_voice_ko_41665913,옥점 어머니는 부끄러운 생각이 들어 그만 홱 돌아섰다.,South Korea,twenties,male
common_voice_ko_37247554,네 말은 네 행동이 된다.,South Korea,fourties,male
common_voice_ko_37247557,입에서는 침조차 나오지 않고 배는 등에 붙은 것 같다.,South Korea,fourties,male
common_voice_ko_39571266,어리석은 자는 그 노를 다 드러내어도 지혜로운 자는 그 노를 억제하느니라.,South Korea,twenties,male
common_voice_ko_39571273,병실로 떠메어 들어온 뒤에야 영신은 차츰차츰 의식을 회복하였다.,South Korea,twenties,male
common_voice_ko_39571277,그때 다리를 빼앗기던 장면이 휙 떠오른다.,South Korea,twenties,male
common_voice_ko_39476318,그러나 말소리는 들리지 않고 무슨 옷갈피를 뒤지는 소리가 부스스 들릴 뿐이다.,South Korea,thirties,female
common_voice_ko_39476319,그런 걸 별짓을 다해 가면서 억지루 시작을 했었지요.,South Korea,thirties,female
common_voice_ko_39476322,따라서 의사에게 보인 적이 없으니 무슨 병인지는 알 수 없으되.,South Korea,thirties,female
common_voice_ko_39476325,그 말에 회원들은 손바닥이 뜨겁도록 박수를 한다.,South Korea,thirties,female
common_voice_ko_39476326,더욱 신철의 집에서 몇 번 보기도 하였다.,South Korea,thirties,female
common_voice_ko_39476327,창 밖에 밤비가 속살거려.,South Korea,thirties,female
common_voice_ko_39476341,그 목소리는 몸집과 딴판으로 연하고 싹싹하였다.,South Korea,thirties,female
common_voice_ko_39476345,아직도 인천 시가는 뿌연 분위기 속에 잠겨 있었다.,South Korea,thirties,female
common_voice_ko_39476347,출동하면 반은 이런 경우죠.,South Korea,thirties,female
common_voice_ko_39476353,채찍과 꾸지람이 지혜를 주거늘 임의로 하게 버려두면 그 자식은 어미를 욕되게 하느니라.,South Korea,thirties,female
common_voice_ko_40612778,어쩌란 말이야!,Ukrainian,twenties,female
common_voice_ko_40612785,"그 정도면 충분했잖아, 뭘 더 바라.",Ukrainian,twenties,female
common_voice_ko_40612786,축하드려요.,Ukrainian,twenties,female
common_voice_ko_40612792,미안하네.,Ukrainian,twenties,female
common_voice_ko_40612793,이해하셨습니까?,Ukrainian,twenties,female
common_voice_ko_40612794,하고 말도 하기 싫다는 듯이 돌아 드러눕느다.,Ukrainian,twenties,female
common_voice_ko_40612798,어디로?,Ukrainian,twenties,female
common_voice_ko_40620768,금방 후회를 하고 거울을 집어 들었다.,Ukrainian,twenties,female
common_voice_ko_40620769,그리고 이서방이 없는 동안에 자기가 당한 일을 얼핏 생각하였다.,Ukrainian,twenties,female
common_voice_ko_40620770,들려요.,Ukrainian,twenties,female
common_voice_ko_40620774,김첨지는 취중에도 설렁탕을 사가지고 집에 다다랐다.,Ukrainian,twenties,female
common_voice_ko_40620778,사실이에요.,Ukrainian,twenties,female
common_voice_ko_40620801,"죄송해요, 아버지.",Ukrainian,twenties,female
common_voice_ko_40620807,드디어!,Ukrainian,twenties,female
common_voice_ko_40620812,이상하지 않아?,Ukrainian,twenties,female
common_voice_ko_40620813,"아, 해장국이나 먹자니까 이 시간에 뭔 운동이야.",Ukrainian,twenties,female
common_voice_ko_40620847,그것은 마시면 마실수록 목이 말라진다.,Ukrainian,twenties,female
common_voice_ko_40620849,약속하지?,Ukrainian,twenties,female
common_voice_ko_37597007,십 년 만에 만나는 친구의 음성인들 이 빗소리보다 더 반가우랴.,South Korea,twenties,male
common_voice_ko_37597008,물론 공장에서 내준 것이 아니고 여공들 스스로 해입게 하였던 것이다.,South Korea,twenties,male
common_voice_ko_37597009,음성 기술은 그 편리한 방법을 컴퓨터와 모바일 환경에서 사용할 수 있게 합니다.,South Korea,twenties,male
common_voice_ko_37597011,할멈은 올 가을에 새로한 이 무명저고리를 아까워서 입지 못하고 두었던 것이다.,South Korea,twenties,male
common_voice_ko_37597013,무슨 핑계를 하는지 기어이 못 보게 하고 만다.,South Korea,twenties,male
common_voice_ko_37597038,시멘트 포대를 시멘트 가루 개는 곳으로 나르라는 것이다.,South Korea,twenties,male
common_voice_ko_37597039,형제는 그 아버지의 시체 앞에 꿇어 엎드려 목을 놓고 울었습니다.,South Korea,twenties,male
common_voice_ko_37597040,나는 이것을 의논할 사람은 춘우밖에 없다.,South Korea,twenties,male
common_voice_ko_37597042,는 듯이 상을 찌푸리고 꼴딱꼴딱 마셔 넘긴다.,South Korea,twenties,male
common_voice_ko_37597043,이라고 버젓이 씌어 있는 것을 보니 동혁의 가슴은 울렁거리지 않을 수 없었다.,South Korea,twenties,male
common_voice_ko_37597064,신철이는 눈가로 약간 웃음을 띠며 이런 말을 하였다.,South Korea,twenties,male
common_voice_ko_37597065,무슨 뜻이에요?,South Korea,twenties,male
common_voice_ko_37597066,벽을 새로 감독과 그가 마주 누운 것이 직각 되자 불쾌하였다.,South Korea,twenties,male
common_voice_ko_37597067,꼬리를 굴리는 행운이 꼭 자기를 기다리고 있다고 내기를 해도 좋을 만한 믿음을 얻게 되었다.,South Korea ,twenties,male
common_voice_ko_37211921,애완동물을 기르는 인구가 전체 인구의 사 분의 일이 되었습니다.,South Korea,twenties,male
common_voice_ko_37211924,기천이는 맨 나중에 단장을 짚고 기엄기엄 올라왔다.,South Korea,twenties,male
common_voice_ko_37211925,시간 재고 잠복기를 줄이려고요.,South Korea,twenties,male
common_voice_ko_37211926,영신은 그 장면이 머릿속에 떠오르기만 해도 가슴이 설레고 얼굴이 화끈화끈 달았다.,South Korea,twenties,male
common_voice_ko_37211929,그러던 터에 오늘은 편지를 뜯어 보고 동혁은 적지 않이 놀랐다.,South Korea,twenties,male
common_voice_ko_37211933,신철이는 시멘트 포대와 함께 넘어졌다가 일어났다.,South Korea,twenties,male
common_voice_ko_37211936,신철이는 우미관 앞에서 오 전짜리 우동 두 그릇을 사먹고 나서야 기운이 났다.,South Korea,twenties,male
common_voice_ko_37211937,휘어잡는 소매를 뿌리치며 일어설 용기가 나지를 않았다.,South Korea,twenties,male
common_voice_ko_37211940,며칠 후 선비 어머니는 마침내 세상을 떠나고 말았다.,South Korea,twenties,male
common_voice_ko_37211941,김첨지는 어랍시요 하고 물러섰다.,South Korea,twenties,male
common_voice_ko_37211943,제 그곳을 지배하는 무시무시한 정적.,South Korea,twenties,male
common_voice_ko_37211944,버들껑 하는 동작과 함께 날카로운 소리가 독살스러운 땡비같이 나의 귀를 툭 쏘았다.,South Korea,twenties,male
common_voice_ko_37211945,한참 후에 그는 바느질 그릇을 들고 내려와서 등불을 마주 앉으며 일감을 들었다.,South Korea,twenties,male
common_voice_ko_37211946,신철이도 그의 뒤를 따라 막으로 올라갔다.,South Korea,twenties,male
common_voice_ko_37211958,평소에는 성이 난 사람처럼 뚜웅허니 남하고 수작 하기도 싫어하면서 술만 들어가면 불평이 쏟아진다.,South Korea,twenties,male
common_voice_ko_37211959,그때 저편에서 회중전등이 번쩍 하고 이리로 왔다.,South Korea,twenties,male
common_voice_ko_37211971,그는 이러한 생각을 하며 쌀항아리를 다시금 들여다보았다.,South Korea,twenties,male
common_voice_ko_37211972,하루에 세 시간을 걸으면 칠 년 후에 지구를 한바퀴 돌 수 있다.,South Korea,twenties,male
common_voice_ko_37211988,사별한 첫째 부인 사이에서는 자식이 아예 없었고.,South Korea,twenties,male
common_voice_ko_37211989,내가 땅에서 피하며 유리하는 자가 될찌라.,South Korea,twenties,male
common_voice_ko_37212000,그 순간 신철이는 물 속에 잠겨 흔들리던 달이 휙 지나친다.,South Korea,twenties,male
common_voice_ko_37212010,그 오라질 년이 밥을 죽이지.,South Korea,twenties,male
common_voice_ko_37212011,마른침을 삼키며 다음 순서를 기다린다.,South Korea,twenties,male
common_voice_ko_37212020,그녀는 유아 치고는 매우 밝습니다.,South Korea,twenties,male
common_voice_ko_37212021,언뜻 깨달으니 김첨지는 인력거를 쥔 채 길 한복판에 엉거주춤 멈춰 있지 않은가.,South Korea,twenties,male
common_voice_ko_37212023,영숙은 이미 자기를 떠나 옛날에 그 사람에게로 돌아갔다.,South Korea,twenties,male
common_voice_ko_36545184,선비는 약간 웃음을 띠며 머리를 푹 숙인다.,South Korea,thirties,male
common_voice_ko_36545185,신철이 역시 간난이가 먼저 말하기 전에는 아무러한 눈치도 간난이에게 보이지 않을 모양이다.,South Korea,thirties,male
common_voice_ko_36545186,그러다가는 다시 의혹이 생기기 시작 하였다.,South Korea,thirties,male
common_voice_ko_36545187,엘지가 스마트폰 사업을 철수하면서 제한적으로 가능했던 부트로더 언락 서비스도 중단되었습니다.,South Korea,thirties,male
common_voice_ko_36545188,사죄할 만큼 내가 춘우에게 부족히 한 것이 무엇이냐.,South Korea,thirties,male
common_voice_ko_36545189,하며 아까 쓰러질 때처럼 오른편 아랫배를 움켜쥐며 지독한 고통을 참느라고 입살을 깨문다.,South Korea,thirties,male
common_voice_ko_36545191,백두산 기상을 다 안고.,South Korea,thirties,male
common_voice_ko_36545192,무슨 흥이나 날 때에는 피아노에 가서 한 곡조 두드리는 재미도 또한 괜찮았습니다.,South Korea,thirties,male
common_voice_ko_36545196,이마와 뺨에 입을 맞추어 주었다.,South Korea,thirties,male
common_voice_ko_36545197,영신은 승객들에게 밀려서 동혁이가 걸터앉은 데까지 와서는 손잡이를 붙들고 섰다.,South Korea,thirties,male
common_voice_ko_36545198,그 틈에 주전자 뚜껑은 또 소리 없이 열렸다.,South Korea,thirties,male
common_voice_ko_36545199,투표 방법에 대해서 설명드리겠습니다.,South Korea,thirties,male
common_voice_ko_36545200,아무 데도 얽매이지 않는 몸을 오로지 농촌사업에다만 바치리라.,South Korea,thirties,male
common_voice_ko_36545201,형사가 잠깐 돌아선 사이에 동혁은 영신의 손을 덥석 잡았다.,South Korea,thirties,male
common_voice_ko_36545202,그는 언제나 컴컴해서 일어나 나가곤 하였던 것이다.,South Korea,thirties,male
common_voice_ko_36545209,그때에 그는 어머니와 그가 살던 아랫 마을 집이 문득 생각히었다.,South Korea,thirties,male
common_voice_ko_36545211,"기껀 밥 처먹구 무슨 관격이야, 남의 농사 버려주면 이자식아 징역간다 봐라!",South Korea,thirties,male
common_voice_ko_36545212,삼가 말씀에 주의하는 자는 좋은 것을 얻나니 여호와를 의지하는 자가 복이 있느니라.,South Korea,thirties,male
common_voice_ko_36545213,악을 행하기를 꾀하는 자를 일컬어 사특한 자라 하느니라.,South Korea,thirties,male
common_voice_ko_36545219,다시 살아날 자신이 있는 듯이 가냘픈 미소를 띠어 보인다.,South Korea,thirties,male
common_voice_ko_36545220,저의 전보를 보고 그렇게 많이들 나왔을 줄은 몰랐다.,South Korea,thirties,male
common_voice_ko_36545222,분홍빛 수건을 내어 방으로 들어앉는 신철의 무릎에 던진다.,South Korea,thirties,male
common_voice_ko_36545223,그리고 이서방의 몸이 불편하다는 것을 깨달았다.,South Korea,thirties,male
common_voice_ko_36545224,선비는 놀라 덕호를 바라보다 머리를 숙인다.,South Korea,thirties,male
common_voice_ko_36545225,혀 곱은 소리로 덕호는 이렇게 말하였다.,South Korea,thirties,male
common_voice_ko_36545228,굴다리 밑으로 오라고 해서 갔더니 아무도 없잖아?,South Korea,thirties,male
common_voice_ko_36545229,그리고 용연의 원소가 떠오르고 선비가 눈결에 지나쳤다.,South Korea,thirties,male
common_voice_ko_36545230,달이라고는 이름 뿐이요.,South Korea,thirties,male
common_voice_ko_36545231,활활 다는 가마 속에 그의 몸뚱이를 넣고 달달 볶는 것 같았다.,South Korea,thirties,male
common_voice_ko_36545232,그는 제게 햇빛이고 공기였어요.,South Korea,thirties,male
common_voice_ko_36545233,그러므로 할멈과 선비는 밤에도 맘놓고 자지를 못하고 방에 불을 끄지 못하였다.,South Korea,thirties,male
common_voice_ko_36545234,이 자라야 한다는 것은 내가 아니라 내 아내가 될 점순이의 키 말이다.,South Korea,thirties,male
common_voice_ko_36545236,횡단보도를 건널 때는 신호등을 확인해요.,South Korea,thirties,male
common_voice_ko_36545237,말하자면 죄는 기회에 있는데 기회라는 무형물은 벌을 할 수가 없으니깐.,South Korea,thirties,male
common_voice_ko_36545238,이같이 하나님이 그 사람을 쫓아 내시고.,South Korea,thirties,male
common_voice_ko_36545239,면장과 구장은 기천의 소매를 끌어들인다.,South Korea,thirties,male
common_voice_ko_36545240,옆의 동무는 선비의 귀에다 입을 대었다.,South Korea,thirties,male
common_voice_ko_36545242,선비는 할 수 없음을 알고 부엌으로 나와서 물을 끓여 가지고 들어왔다.,South Korea,thirties,male
common_voice_ko_36545246,웃기 잘하는 여공은 킥킥 웃으며 이불 속으로 손을 넣어 꾹 찔렀다.,South Korea,thirties,male
common_voice_ko_36545248,국회의원은 법률이 정하는 직을 겸할 수 없다.,South Korea,thirties,male
common_voice_ko_36545254,학교는 교육과정을 자의적으로 운영하거나 학생에게 임의적인 교내외 행사 참석을 강요하여서는 아니 된다.,South Korea,thirties,male
common_voice_ko_36545255,네 생각은 네 말이 된다.,South Korea,thirties,male
common_voice_ko_36545256,내가 모략과 지식의 아름다운 것을 기록하여.,South Korea,thirties,male
common_voice_ko_36545257,아담에게 이르시되.,South Korea,thirties,male
common_voice_ko_36545258,옥점의 뒤를 따라 들어오는 낯모를 양복쟁이는 모녀를 바라보며 머뭇머뭇 하고 섰다.,South Korea,thirties,male
common_voice_ko_36545264,관대한 어린 손님은 이런 말을 남기고 총총히 옷도 입고 짐도 챙기러 갈 데로 갔다.,South Korea,thirties,male
common_voice_ko_36545265,동산 각종 나무의 실과는 네가 임의로 먹되.,South Korea,thirties,male
common_voice_ko_36545267,그나마 부두노동에 있어서는 신철이가 맡았던 붉은 끈이 제일 임금이 많은 듯하였다.,South Korea,thirties,male
common_voice_ko_36545268,쫓겨난 사람에게는 부모도 없고 형제도 없는 것이야.,South Korea,thirties,male
common_voice_ko_36545269,그들은 뜻하지 않은 한숨이 후 나왔다.,South Korea,thirties,male
common_voice_ko_36545270,첫째 어머니는 부엌으로 나가서 나무 한 뭇을 더 넣고 들어왔다.,South Korea,thirties,male
common_voice_ko_36545272,영신은 불을 뜨뜻이 때어 놓은 아랫목에 가 턱 쓰러졌다.,South Korea,thirties,male
common_voice_ko_36545273,선비는 어서 말이 끝나기를 기다리나 감독은 이런 부실한 말만 자꾸 늘어놓는다.,South Korea,thirties,male
common_voice_ko_36552124,먹음직도 하고 보암직도 하고 지혜롭게 할만큼 탐스럽기도 한 나무인지라.,South Korea,thirties,male
common_voice_ko_36552127,그리고 어머니가 하던 말이 얼핏 생각힌다.,South Korea,thirties,male
common_voice_ko_36552128,그러나 그 소리는 확실히 선비의 가슴 복판을 찔러 주었다.,South Korea,thirties,male
common_voice_ko_35850231,그리고 선비의 그 고운 얼굴이 미소를 띠고 지나치는 것을 그는 확실히 보았다.,South Korea,thirties,male
common_voice_ko_35850233,우리들은 각각 제 길 닦기에 바쁜 사람이라.,South Korea,thirties,male
common_voice_ko_35850234,나의 교훈을 받지 아니하고 나의 모든 책망을 업신여겼음이라.,South Korea,thirties,male
common_voice_ko_35850365,개천에서 용 난다.,South Korea,thirties,male
common_voice_ko_35850368,나는 그 알레그로가 울리어 나오는 순간 마음은 끝까지 긴장되고 흥분되었습니다.,South Korea,thirties,male
common_voice_ko_35850370,선비가 이 공장에 들어온 지가 벌써 거의 일년이 되어 온다.,South Korea,thirties,male
common_voice_ko_35850371,그리할 때마다 영숙은 서랍을 열고 상자 속에 넣어 두었던 패물낱을 들고 나갔다.,South Korea,thirties,male
common_voice_ko_35850372,벌써부터 이런 생각을 가졌으나 용이하게 기회를 타는 수가 없었다.,South Korea,thirties,male
common_voice_ko_35850420,그는 종잇조각과 연필을 내어 신철에게 무엇을 써서 보였다.,South Korea,thirties,male
common_voice_ko_35850422,재판의 심리와 판결은 공개한다.,South Korea,thirties,male
common_voice_ko_35850423,헌법재판소 재판관은 정당에 가입하거나 정치에 관여할 수 없다.,South Korea,thirties,male
common_voice_ko_35850425,이번엔 제법 목소리가 패인 남학생의 질문이 들어왔다.,South Korea,thirties,male
common_voice_ko_35850426,한번의 실패와 영원한 실패를 혼동하지 마라.,South Korea,thirties,male
common_voice_ko_35850466,방망이 소리는 그가 걸을수록 점점 희미하게 들렸다.,South Korea,thirties,male
common_voice_ko_35850472,모든 국민은 학문과 예술의 자유를 가진다.,South Korea,thirties,male
common_voice_ko_35850476,학생 또는 보호자는 학생 본인에 관한 학교 기록을 언제든지 열람할 권리를 가진다.,South Korea,thirties,male
